Feature ID,Feature Name,Category,User Story,Expected Behaviour,Status,Test Date,Errors Found,Fix Applied,Post-Fix Status
F001,/quit,Slash Command,"As a user, I want to exit Kairos so that I can close the application",TUI closes and process exits,Passed,2026-06-20,,,Passed
F002,/exit,Slash Command,"As a user, I want to exit Kairos so that I can close the application",TUI closes and process exits,Passed,2026-06-20,,,Passed
F003,/clear,Slash Command,"As a user, I want to clear the chat pane so that I can start fresh",Chat pane content is cleared,Passed,2026-06-20,,,Passed
F004,/help,Slash Command,"As a user, I want to see all available commands so that I know what I can do",Displays categorized list of all commands,Passed,2026-06-20,,,Passed
F005,/version,Slash Command,"As a user, I want to see the version so that I know what I'm running",Shows version 0.1.1 and feature count,Passed,2026-06-20,,,Passed
F006,/status,Slash Command,"As a user, I want to see system status so that I know the health",Shows version/platform/uptime/memory/status,Passed,2026-06-20,,,Passed
F007,/model,Slash Command,"As a user, I want to switch models so that I can use different LLMs",Displays current model or switches to specified model,Passed,2026-06-20,,,Passed
F008,/mode,Slash Command,"As a user, I want to switch agent modes so that I can change behavior",Displays current mode or switches to specified mode,Passed,2026-06-20,,,Passed
F009,/theme,Slash Command,"As a user, I want to switch themes so that I can customize appearance",Switches to specified theme (default/dark/light/monokai/dracula),Passed,2026-06-20,,,Passed
F010,/dream,Slash Command,"As a user, I want to consolidate memory so that I can organize facts",Runs memory consolidation process,Passed,2026-06-20,,,Passed
F011,/compact,Slash Command,"As a user, I want to compact context so that I can save tokens",Summarizes and compacts conversation context,Passed,2026-06-20,,,Passed
F012,/recall,Slash Command,"As a user, I want to search memory so that I can find past information",Searches memory for matching facts and displays results,Passed,2026-06-20,,,Passed
F013,/forget,Slash Command,"As a user, I want to clear memory so that I can start fresh",Clears stored memory,Passed,2026-06-20,,,Passed
F014,/rules,Slash Command,"As a user, I want to see learned rules so that I know what patterns exist",Displays learned rules from workflow memory,Passed,2026-06-20,,,Passed
F015,/alias,Slash Command,"As a user, I want to manage aliases so that I can create shortcuts",Lists/creates/removes text aliases,Passed,2026-06-20,,,Passed
F016,/knowledge,Slash Command,"As a user, I want to manage knowledge graph so that I can store relationships",Adds/queries/lists knowledge graph triples,Passed,2026-06-20,,,Passed
F017,/sessions,Slash Command,"As a user, I want to list sessions so that I can see my history",Lists all saved sessions with metadata,Passed,2026-06-20,,,Passed
F018,/export,Slash Command,"As a user, I want to export session so that I can save my work",Exports current session to file,Passed,2026-06-20,,,Passed
F019,/undo,Slash Command,"As a user, I want to undo operations so that I can revert mistakes",Reverts last action or lists undo history,Passed,2026-06-20,,,Passed
F020,/persona,Slash Command,"As a user, I want to manage persona so that I can change AI behavior",Lists/sets/gets/clears AI persona,Passed,2026-06-20,,,Passed
F021,/tasks,Slash Command,"As a user, I want to see tasks so that I know what's pending",Shows active task list,Passed,2026-06-20,,,Passed
F022,/workflow,Slash Command,"As a user, I want to run workflows so that I can automate processes",Parses/validates/executes YAML workflows,Passed,2026-06-20,,,Passed
F023,/metrics,Slash Command,"As a user, I want to manage metrics so that I can track quality",Defines/records/views quality metrics,Passed,2026-06-20,,,Passed
F024,/campaign,Slash Command,"As a user, I want to start campaigns so that I can track refactoring",Initiates a refactoring campaign,Passed,2026-06-20,,,Passed
F025,/report,Slash Command,"As a user, I want to generate reports so that I can see productivity",Generates productivity report with stats,Passed,2026-06-20,,,Passed
